participant_id,day,session_label,mean_wpm,mean_errors_per_phrase,error_rate_per_phrase,mean_cer,mean_accuracy,n_trials,n_selections,n_errors,error_rate_per_keystroke,n_late_err,n_early_err,n_other_err,early_share_of_err,late_share_of_err,other_share_of_err,early_err_per_key,late_err_per_key,other_err_per_key,mean_trigger_offset_ms,median_trigger_offset_ms,mean_gaze_pinch_latency_ms,median_gaze_pinch_latency_ms,mean_approach_latency_ms,mean_fixation_dwell_ms,mean_key_hold_ms,mean_fixation_ms,mean_corrective_saccades
P03,2,experiment_2,10.560684330603243,0.1,0.1,0.02,0.9800000000000001,10,50,1,0.02,0,0,1,0.0,0.0,1.0,0.0,0.0,0.02,-1.0,0.0,614.8541666666666,591.5,747.2894736842105,125.26315789473684,111.02127659574468,99.26918210547623,1.06
P03,2,experiment_3,10.142612817313148,0.3,0.1,0.06,0.9400000000000001,10,50,3,0.06,0,1,2,0.3333333333333333,0.0,0.6666666666666666,0.02,0.0,0.04,-4.64,0.0,612.0,550.0,702.3157894736842,127.34210526315789,122.72727272727273,97.54806637806638,1.0
P03,2,experiment_4,8.58166816857433,0.5,0.4,0.1,0.9,10,50,5,0.1,2,2,1,0.4,0.4,0.2,0.04,0.04,0.02,15.22,0.0,616.2340425531914,517.0,752.85,150.55,127.53191489361703,101.8971574074074,1.56
P03,2,experiment_5,9.936044666715512,0.3,0.3,0.06000000000000001,0.9400000000000001,10,50,3,0.06,0,0,3,0.0,0.0,1.0,0.0,0.0,0.06,6.8,0.0,544.8958333333334,534.0,665.2926829268292,130.82926829268294,111.58,101.60084797555386,1.04
P03,3,experiment_1,13.925860809179136,0.0,0.0,0.0,1.0,10,50,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.1363636363636,501.0,672.8857142857142,117.0,99.82,103.25133986928104,0.32
P03,3,experiment_2,13.896310325056694,0.0,0.0,0.0,1.0,10,50,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.1333333333333,551.0,684.9117647058823,85.17647058823529,101.42,99.35408813408813,0.36
P03,3,experiment_3,14.334330756135762,0.0,0.0,0.0,1.0,10,50,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.1777777777778,534.0,671.4545454545455,108.84848484848484,98.58,99.69672247686954,0.4
P03,3,experiment_4,14.079951335000516,0.0,0.0,0.0,1.0,10,50,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.7045454545455,518.0,651.15625,87.71875,99.64,103.1835755910756,0.42000000000000004
P03,3,experiment_5,14.454177565162368,0.0,0.0,0.0,1.0,10,50,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.6818181818181,485.0,610.2941176470588,86.1470588235294,94.72,106.28182988580048,0.32
P04,1,experiment_1,4.0555482898394395,1.2,0.7,0.24,0.76,10,50,12,0.24,6,2,4,0.16666666666666666,0.5,0.3333333333333333,0.04,0.12,0.08,48.34,0.0,526.2173913043479,479.5,714.9487179487179,203.33333333333334,127.65625,86.99285714285715,5.4
P04,1,experiment_2,3.748647596730607,0.9,0.5,0.18,0.82,10,50,9,0.18,6,2,1,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.04,0.12,0.02,88.38,0.0,514.125,369.0,674.9444444444445,213.22222222222223,123.56666666666666,92.62847923681257,3.96
P04,1,experiment_3,4.687209370705273,0.4,0.3,0.08,0.9199999999999999,10,50,4,0.08,2,1,1,0.25,0.5,0.25,0.02,0.04,0.02,6.84,0.0,362.5416666666667,270.5,579.2391304347826,224.34782608695653,125.92857142857143,85.53703703703704,4.34
P04,1,experiment_4,5.070428614856571,0.8,0.6,0.16,0.8400000000000001,10,50,8,0.16,2,1,5,0.125,0.25,0.625,0.02,0.04,0.1,27.32,0.0,403.7291666666667,420.0,577.2,204.8,132.46153846153845,86.3716049382716,5.0600000000000005
P04,1,experiment_5,3.649918339254678,0.6,0.6,0.12000000000000002,0.8800000000000001,10,50,6,0.12,3,1,2,0.16666666666666666,0.5,0.3333333333333333,0.02,0.06,0.04,38.92,0.0,504.5744680851064,500.0,675.7948717948718,242.56410256410257,125.90322580645162,86.54197530864197,5.2
P04,2,experiment_1,9.068456033273522,0.4,0.2,0.08,0.9199999999999999,10,50,5,0.1,0,3,2,0.6,0.0,0.4,0.06,0.0,0.04,-16.26,0.0,514.4545454545455,530.0,687.8,223.57142857142858,146.8,103.91496891996891,0.76
