participant_id,day,session_type,session_index,session_label,trial_id,target_word,typed_text,start_time,end_time,duration_ms,num_characters_typed,target_length,error_count,character_error_rate,event_log_file,run_dir,wpm,entry_seconds,accuracy,errors_per_phrase,has_error
P01,1,experiment,5,experiment_5,trial_004,snore,lnoee,1780566722883,1780566764251,41368,5,5,2,0.4,experiment_5/trial_004_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,1.2161135039270334,39.47,0.6,2.0,1.0
P01,1,experiment,5,experiment_5,trial_005,least,least,1780566764254,1780566769651,5397,5,5,0,0.0,experiment_5/trial_005_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,12.10287443267776,3.966,1.0,0.0,0.0
P01,1,experiment,5,experiment_5,trial_006,slate,slane,1780566769652,1780566782934,13282,5,5,1,0.2,experiment_5/trial_006_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,4.621606008087811,10.386,0.8,1.0,1.0
P01,1,experiment,5,experiment_5,trial_007,toast,trast,1780566782935,1780566794467,11532,5,5,1,0.2,experiment_5/trial_007_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,5.312084993359894,9.036,0.8,1.0,1.0
P01,1,experiment,5,experiment_5,trial_008,stare,ssaee,1780566794468,1780566807818,13350,5,5,2,0.4,experiment_5/trial_008_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,5.806919912896202,8.266,0.6,2.0,1.0
P01,1,experiment,5,experiment_5,trial_009,learn,learn,1780566807820,1780566816537,8717,5,5,0,0.0,experiment_5/trial_009_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,8.698803914461761,5.518,1.0,0.0,0.0
P01,1,experiment,5,experiment_5,trial_010,alone,alone,1780566816538,1780566824754,8216,5,5,0,0.0,experiment_5/trial_010_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,7.14498362607919,6.718,1.0,0.0,0.0
P01,2,experiment,1,experiment_1,trial_001,stare,stare,1780633831509,1780633836336,4827,5,5,0,0.0,experiment_1/trial_001_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,15.559157212317666,3.085,1.0,0.0,0.0
P01,2,experiment,1,experiment_1,trial_002,alert,alert,1780633836337,1780633841906,5569,5,5,0,0.0,experiment_1/trial_002_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,13.201320132013201,3.636,1.0,0.0,0.0
P01,2,experiment,1,experiment_1,trial_003,later,later,1780633841907,1780633860577,18670,5,5,0,0.0,experiment_1/trial_003_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,2.843096606053427,16.883,1.0,0.0,0.0
P01,2,experiment,1,experiment_1,trial_004,snore,snore,1780633860579,1780633868527,7948,5,5,0,0.0,experiment_1/trial_004_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,9.471191791633782,5.068,1.0,0.0,0.0
P01,2,experiment,1,experiment_1,trial_005,alone,alone,1780633868528,1780633876011,7483,5,5,0,0.0,experiment_1/trial_005_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,8.277289187790998,5.799,1.0,0.0,0.0
P01,2,experiment,1,experiment_1,trial_006,slate,slate,1780633876012,1780633882042,6030,5,5,0,0.0,experiment_1/trial_006_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,12.419146183699871,3.865,1.0,0.0,0.0
P01,2,experiment,1,experiment_1,trial_007,learn,learn,1780633882043,1780633887293,5250,5,5,0,0.0,experiment_1/trial_007_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,12.631578947368423,3.8,1.0,0.0,0.0
P01,2,experiment,1,experiment_1,trial_008,toast,toast,1780633887294,1780633893078,5784,5,5,0,0.0,experiment_1/trial_008_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,12.364760432766616,3.882,1.0,0.0,0.0
P01,2,experiment,1,experiment_1,trial_009,stone,stone,1780633893079,1780633899946,6867,5,5,0,0.0,experiment_1/trial_009_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,9.997917100604042,4.801,1.0,0.0,0.0
P01,2,experiment,1,experiment_1,trial_010,least,least,1780633899946,1780633904594,4648,5,5,0,0.0,experiment_1/trial_010_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,13.702540679417641,3.503,1.0,0.0,0.0
P01,2,experiment,2,experiment_2,trial_001,snore,snrre,1780633907330,1780633915064,7734,5,5,1,0.2,experiment_2/trial_001_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,8.227631127871101,5.834,0.8,1.0,1.0
P01,2,experiment,2,experiment_2,trial_002,later,later,1780633915065,1780633920763,5698,5,5,0,0.0,experiment_2/trial_002_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,11.704462326261888,4.101,1.0,0.0,0.0
P01,2,experiment,2,experiment_2,trial_003,stare,ttare,1780633920764,1780633926145,5381,5,5,1,0.2,experiment_2/trial_003_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,15.810276679841898,3.036,0.8,1.0,1.0
P01,2,experiment,2,experiment_2,trial_004,learn,nearn,1780633926146,1780633932096,5950,5,5,1,0.2,experiment_2/trial_004_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,10.743061772605193,4.468,0.8,1.0,1.0
P01,2,experiment,2,experiment_2,trial_005,toast,toast,1780633932096,1780633938463,6367,5,5,0,0.0,experiment_2/trial_005_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,10.031347962382446,4.785,1.0,0.0,0.0
P01,2,experiment,2,experiment_2,trial_006,alone,alone,1780633938464,1780633944782,6318,5,5,0,0.0,experiment_2/trial_006_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,10.91157081154808,4.399,1.0,0.0,0.0
P01,2,experiment,2,experiment_2,trial_007,least,least,1780633944783,1780633949882,5099,5,5,0,0.0,experiment_2/trial_007_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,12.251148545176111,3.918,1.0,0.0,0.0
P01,2,experiment,2,experiment_2,trial_008,slate,slate,1780633949882,1780633955682,5800,5,5,0,0.0,experiment_2/trial_008_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,12.701772955808416,3.779,1.0,0.0,0.0
P01,2,experiment,2,experiment_2,trial_009,stone,ltrne,1780633955683,1780633963083,7400,5,5,2,0.4,experiment_2/trial_009_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,7.87143325680551,6.098,0.6,2.0,1.0
P01,2,experiment,2,experiment_2,trial_010,alert,anest,1780633963084,1780633969532,6448,5,5,2,0.4,experiment_2/trial_010_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,10.182435299109038,4.714,0.6,2.0,1.0
P01,2,experiment,3,experiment_3,trial_001,learn,learn,1780633971201,1780633976683,5482,5,5,0,0.0,experiment_3/trial_001_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,12.910166756320605,3.718,1.0,0.0,0.0
P01,2,experiment,3,experiment_3,trial_002,alert,anlrt,1780633976684,1780633988668,11984,5,5,2,0.4,experiment_3/trial_002_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_2,5.745062836624776,8.355,0.6,2.0,1.0
